course_code,course_name,course_desc
USAF-2060,Aerospace Studies 300b,"AS 300, Leading People and Effective Communication, teaches cadets advanced skills and knowledge in management and leadership. Special emphasis is placed on enhancing leadership skills and communication. Cadets have an opportunity to try out these leadership and management techniques in a supervised environment as juniors and seniors. Laboratory (USAF 0080) is mandatory for AFROTC cadets and complements this course by providing cadets with leadership/followership experiences."
USAF-2070,Aerospace Studies 400a,"AS 400, National Security Affairs/Preparation for Active Duty, is designed for college seniors and gives them the foundation to understand their role as military officers in American society. It is an overview of the complex social and political issues facing the military profession and requires a measure of sophistication commensurate with the senior college level. The final semester provides information that will prepare the cadets for Active Duty. Leadership Laboratory (USAF 0080) is mandatory for AFROTC cadets and complements this course by providing cadets with leadership/followership experiences."
USAF-2080,Aerospace Studies 400b,"AS 400, National Security Affairs/Preparation for Active Duty, is designed for college seniors and gives them the foundation to understand their role as military officers in American society. It is an overview of the complex social and political issues facing the military profession and requires a measure of sophistication commensurate with the senior college level. The final semester provides information that will prepare the cadets for Active Duty. Leadership Laboratory (USAF 0080) is mandatory for AFROTC cadets and complements this course by providing cadets with leadership/followership experiences."
USAF-2940,Readings In Usaf,
USAF-4000,Consortia Course At Sage,
USAF-4001,Consortia Course At Hvcc,
USAF-4002,Consortia Course At Suny Alb.,
USAF-4003,Consortia Course At Siena,
USAF-4004,Consortia Course At Skidmore,
USAF-4005,Consortia Course At Union,
USAF-4006,Consortia Course At St. Rose,
USAF-4007,Consortia Course At Jca,
USAF-4008,Consortia Course At Sch Cit Cc,
USAF-4009,Consortia Course At Alb. Pharm,
USAF-4940,Readings In Usaf,
USAF-6000,Consortia Course At Sage,
USAF-6001,Consortia Course At Hvcc,
USAF-6002,Consortia Course At Suny Alb.,
USAF-6003,Consortia Course At Siena,
USAF-6004,Consortia Course At Skidmore,
USAF-6005,Consortia Course At Union,
USAF-6006,Consortia Course At St. Rose,
USAF-6007,Consortia Course At Jca,
USAF-6008,Consortia Course At Sch Cit Cc,
USAF-6009,Consortia Course At Alb. Pharm,
ARCH-1000,Architecture Elective,
ARCH-1001,Consortia Course At Hvcc,
ARCH-1002,Consortia Course At Suny Alb.,
ARCH-1003,Consortia Course At Siena,
ARCH-1004,Consortia Course At Skidmore,
ARCH-1005,Consortia Course At Union,
ARCH-1006,Consortia Course At St. Rose,
ARCH-1007,Consortia Course At Jca,
ARCH-1008,Consortia Course Sccc Or Acc,
ARCH-1009,Consortia Course At Alb. Pharm,
ARCH-1200,Beginners Architecture Career Discovery Program,"Two-week introduction to architecture for rising high school juniors and seniors includes morning programs and introductory lectures in history and theory of architecture, computing and simulation, freehand and extreme drawing, building ecologies, building conservation, and construction systems. There will be field trips and career counseling. Afternoons will have individually critiqued (tutored) design studios, group and individual projects, reviews, and public presentation. Acts as an opportunity for career discovery to decide whether a design education in architecture is appropriate. Summer term annually. Dates TBA. 9:00 am - 4:00 pm."
ARCH-1210,Adcanced Architecture Career Discovery Program,Similar structure as the Beginners program. The Advanced program will continue to cultivate design foundations explored in the Beginners course.
ARCH-1940,Ugrad Independent Study,
ARCH-1960,Topics In Arch & Enviro Design,
ARCH-1961,Topics In Arch & Enviro Design,
ARCH-1962,Topics In Arch & Enviro Design,
ARCH-1963,Topics In Arch & Enviro Design,
ARCH-1964,Topics In Arch & Enviro Design,
ARCH-1965,Topics In Arch & Enviro Design,
ARCH-1966,Topics In Arch & Enviro Design,
ARCH-1967,Topics In Arch & Enviro Design,
ARCH-1968,Topics In Arch & Enviro Design,
ARCH-1969,Topics In Arch & Enviro Design,
ARCH-1974,Study Abroad Topics In Arch,
ARCH-1975,Study Abroad Topics In Arch,
ARCH-1976,Study Abroad Topics In Arch,
ARCH-1977,Study Abroad Topics In Arch,
ARCH-1978,Study Abroad Topics In Arch,
ARCH-1979,Study Abroad Topics In Arch,
ARCH-2000,Architecture Elective,
ARCH-2001,Consortia Course At Hvcc,
ARCH-2002,Consortia Course At Suny Alb.,
ARCH-2003,Consortia Course At Siena,
ARCH-2004,Consortia Course At Skidmore,
ARCH-2005,Consortia Course At Union,
ARCH-2006,Consortia Course At St. Rose,
ARCH-2007,Consortia Course At Jca,
ARCH-2008,Consortia Course Sccc Or Acc,
ARCH-2009,Consortia Course At Alb. Pharm,
ARCH-2150,The Ethos Of Architecture,"This course will examine the spectrum of architectural phenomena and ideas without a specific chronology using examples ranging from antiquity to the contemporary world in western and non-western civilizations and produced in both vernacular and disciplinary cultures. An essential part of this course is to stimulate students' curiosity about architecture and the larger world and introduce them to key issues of architecture regarding space, form, critique, technology, aesthetics, societal and cultural contexts, etc. Particular emphasis will be given to the emergence of modernism in architecture. Crucial to the goals of this course is to encourage students to pursue and develop their own unique vision and voice in architecture throughout their education and practice. Fundamental to this process is making students aware of the necessity to challenge their own subjectivities, biases, and presuppositions.  This course is required of all architecture undergraduates in the B.Arch. program."
ARCH-2160,Architectural Media,"This course continues the inquiry begun in ARCH 2150 and focuses especially on the implications that various media and means of representation have on the breadth of concerns within the history, theory, and critical practices of architecture and especially the generation of architecture.  This course is required of all architecture undergraduates in the B.Arch. program."
ARCH-2170,Arch Theory Iv A,
ARCH-2240,Architectural Design 4,
ARCH-2260,Arch Design IIIb,
ARCH-2270,Arch Design Iva,
ARCH-2320,Structures & Construction Sys,
ARCH-2330,Structures 1,"Through in-class presentations, homework, exams, and worked problems, students will learn the basic principles of structural systems, when to apply  them, and how they resist gravitational and lateral forces. In addition, students will learn the principles of statics and apply them to basic structural analyses of common structural elements. It is recognized that intuitions of building technologies are not acquired quickly but result from much study, observation, and practice. Structures 1 makes use of the approaches above to ensure that the beginning student is provided with a broad, solid base for future structural investigations."
ARCH-2350,Construction Systems,"This course will provide a basic understanding of the components, assemblies, and processes used in building construction, with an emphasis in structural typologies, materials, and enclosure systems, including frames, load-bearing walls, and structural forms. Typologies will be analyzed through their different materials component (wood, steel, concrete, timber) and construction methods (prefab, formwork, assembly, form-finding). From this fundamental point of departure, the course will examine the construction systems as a composition of building elements (walls, floors, columns, etc.) as well construction methods (casting, laminating, bending, stacking, connecting). Additional coursework will analyze enclosure systems and building envelopes that extend the structural system or attach to it, creating an interior to control and mediate between external environmental factors and internal programmatic requirements."
ARCH-2360,Environmental And Ecol System,"This course focuses on the relationship between the built environment and its context through an introduction to key environmental theories and principles, climate/microclimate types, thermal comfort and thermal delight theories. The course introduces the fundamentals of building physics as it pertains to building thermodynamics, heat and mass transfer, and airflow, and emphasis is placed on passive strategies of heating, cooling, and daylighting. Students will develop the ability to design architecture that, through material selection, form, orientation and climate-specific strategies, mitigates its impacts on the climate and the ecosystem. Environmental and Ecological Systems will introduce analysis and simulation tools which put the environmental principles covered in course lectures into practice. Projects will run in coordination with design projects in ARCH 2830 and will explore site-specific climate analysis, the deployment of environmental strategies at multiple scales, and the design of daylighting and shading strategies informed by digital simulations and physical models."
ARCH-2370,"Energy, Comfort & Ecology","The course offers fundamental principles for environmental literacy, insights into factors influencing human comfort, and an introduction to ecological concepts. It explores thermodynamics and heat transfer phenomena related to the human body and architecture, site environmental analysis, psychrometrics, and aspects of human comfort. Additionally, students will explore ecological considerations applicable at different scales, including rural, urban, and individual buildings."
ARCH-2410,Design Drawing,
ARCH-2430,Intro Comp Apps Arch,
ARCH-2466,History & Theory: Bldg Science,"The course is required as a foundation for the Building Sciences Program in the 21st century. It will examine a range of architectural projects from the global vernacular, significant historical projects, and contemporary case studies from a broader perspective of energy, climate, materials, resources, health, society and technology. This foundational course aims to contextualize significant built projects and work within the historical shifts in the discipline's roots in building physics originating from an 18th - century mechanical paradigm to a 21st century thermodynamic and eco-systemic view of building sciences. A critical part of this course intends to stimulate the capacity of students to recognize and develop their own insights, voice, and critical appreciation of architectural projects from a broader building sciences perspective."
ARCH-2468,Digital Constructs: Bldg Sci,"This course will examine and teach methods for the representation and visual communication of measured data within the built environment with a strong focus on environmental datasets. Students will be introduced to digital modeling, environmental plug-ins and graphic design softwares that effectively translate and visualize information from building environmental surroundings, site, and building performance. Students will demonstrate the capacity to employ methods for data visualization as they pertain to a range of highly contextual case studies and spaces mapping daylight, temperature, humidity, air quality and other sensory information. Skills taught will enable students to produce two-dimensional and three-dimensional synthetic data visualizations in digital modeling environments."
ARCH-2469,Building Sciences Media,"This course focuses on the investigative methods of gathering and representing the physically measurable phenomena within the built environment as they pertain to material thermal and moisture performance, heat, daylight, air velocity, air quality and sound. Students will be introduced to both handheld instruments and investigative learning sensor kit networks for studying the built environment. Students will learn to visualize digitally information that is taken from ""investigative learning kits"". The course will also introduce students to open-source databases of physically measurable phenomena within the built environment. This course is required of all architecture undergraduates in the B.S. in Building Sciences program."
ARCH-2470,N/a,
ARCH-2510,Materials And Design,"Materials and Design introduces basic structural and material strategies and explores their creative and technical application to the architectural design process. The course establishes an understanding of the most common building materials including their physical properties, appropriate applications, and the implications of their uses in the larger context of embodied energy and material life cycles. Complementing performance characteristics, the phenomenology of materials is introduced as a key concept in architectural design. The performance of material assemblies, as synergy between form and material properties, is explored through analysis of architectural case studies. Design experiments are conducted that introduce such major concepts as structural loading, properties of sections, and resulting system performance. These experiments take the form of digital simulations and constructed scale models, with student documentation and reflection on their design processes. Students will study and analyze structural and material strategies in built works, communicating their findings through language, images, drawings, and diagrams.  This course is required of all architecture undergraduates in the B.Arch. program."
ARCH-2520,Digital Constructs I,"This course will examine and teach methods of representation and the communication of design concepts. Skills taught will enable students to produce two-dimensional and three-dimensional digital models, as well as drawings from multiple perspectives. Students will understand virtual environments as they pertain to model making, drawing, scale, and materiality. Students will be introduced to digital modeling and graphic design softwares."
ARCH-2530,Digital Constructs 2,This course builds upon topics covered in ARCH 2520 by focusing upon contemporary means of producing and communicating architectural ideas. Students will use digital methodologies through all phases of a project as well as advanced representation and digital fabrication techniques. The use of digital modeling as a sketch and iterative tool will be emphasized. Tools taught in ARCH 2530 will build upon those software programs taught in ARCH 2520. This course is required of all first-year architecture undergraduates in the B.Arch. program.
ARCH-2540,Digital Constructs 3,"This course introduces computational and procedural design approaches that are a logical extension to topics covered in ARCH 2530. Students will develop an understanding of computational logic through introductory design applications, both as advanced tooling and as generative design techniques. This course is offered in the fall semester and is required of all second-year architecture undergraduates in the B.Arch. program."
ARCH-2550,Digital Constructs 4,"Building on techniques taught in ARCH 2540, this course will expand upon the role of technology in architecture by introducing advanced methods of design analysis and resolution. Students will learn, CAD drawing conventions, file organization and management generative design & scripting, and advanced rendering techniques. This course is offered in the spring semester and is required of all second-year architecture undergraduates in the B.Arch. program."
ARCH-2600,Graduate Design Studio,"Design studio introducing students to general design through a series of short projects. The projects stress critical and creative thinking and invention, interdisciplinary collaboration, observation and perception, communication and visualization. Students will begin open-ended investigations using sketching, photography, model making, and computing."
ARCH-2610,Grad. Arch Design 1,
ARCH-2620,Grad Arch Design 2,
ARCH-2630,Grad Arch Design 3,
ARCH-2700,Senior Design Project,
ARCH-2710,Materials And Enclosure,
ARCH-2720,Comfort Climate & Energy,
ARCH-2730,Enclosure & Energy Sys,
ARCH-2800,Architectural Design Studio 1,"This course introduces students to design as a way of thinking, creating, and making through a series of short projects. The projects stress critical and creative thinking and invention, interdisciplinary collaboration, observation and perception, communication and visualization. Using sketching, photography, model making, and computing students pursue open-ended investigations of form, space, materials, and the ideas that both generate and are generated by them."
ARCH-2810,Architectural Design Studio 2,"This course continues the processes of critical inquiry in relation to design and design creativity through a series of hands-on projects that incorporate fundamental issues of technology, materiality, abstraction, tectonics, and theory that consider the array of architectural issues in the design of built environments that consider architecture in a wider sense that includes its involvement with site, context, situation, and simple program. This course is required of all first-year architecture undergraduates in the B.Arch. program."
ARCH-2820,Architectural Design Studio 3,"This studio focuses on the relationship between building and landscape in terms of conceptual, pragmatic, ideological, aesthetic, and functional issues. As such, it endeavors to examine critically the disciplinary boundary between building, site planning, accessibility, parking and"
ARCH-2830,Architectural Design Studio 4,"This design studio builds on prior studios emphasizing projects of greater scale and complexity. Typically, the studio designs large-scale housing developments but other projects of similar complexity may be used. The studio requires the analysis and critique of precedent and the writing of an architectural program. This course is offered in the spring semester and is required of all second-year architecture undergraduates in the B.Arch. program."
ARCH-2850,Building Performance Studio 1,This studio considers the design of architectural form and space from the perspective of how the many factors of environmental and ecological forces give shape to them. The studio will employ architectural design projects as a means to explore these issues qualitatively and quantitatively. This course is required of all architecture undergraduates in the B.S. in Building Sciences program.
ARCH-2860,Building Performance Studio 2,This studio continues the work of the Building Performance Studio 2 to consider in greater depth and detail the design of architectural form and space from the perspective of how the many factors of environmental and ecological forces give shape to them. The studio will employ architectural design projects as a means to explore these issues qualitatively and quantitatively. This course is required of all architecture undergraduates in the B.S. in Building Sciences program.
ARCH-2940,Ugrad Independent Study,Individual projects and readings adapted to the needs of individual students in Architecture and Environmental Design.
ARCH-2941,Undergraduate Research Project,
ARCH-2950,Undergraduate Research Proj,
ARCH-2960,Topics In Arch And Env Design,Experimental courses tried out in one or two terms as the general program requires.
ARCH-2961,Topics In Arch And Env Design,
ARCH-2962,Topics In Arch And Env Design,
ARCH-2963,Topics In Arch And Env Design,
ARCH-2964,Topics In Arch And Env Design,
ARCH-2965,Topics In Arch And Env Design,
ARCH-2966,Topics In Arch And Env Design,
ARCH-2967,Topics In Arch And Env Design,
ARCH-2968,Topics In Arch And Env Design,
ARCH-2969,Topics In Arch And Env Design,
ARCH-2970,Italian Studies,
ARCH-2974,Study Abroad Topics In Arch,
ARCH-2975,Study Abroad Topics In Arch,
ARCH-2976,Study Abroad Topics In Arch,
ARCH-2977,Study Abroad Topics In Arch,
ARCH-2978,Study Abroad Topics In Arch,
ARCH-2979,Study Abroad Topics In Arch,
ARCH-4000,Architecture Elective,
ARCH-4001,Consortia Course At Hvcc,
ARCH-4002,Consortia Course At Suny Alb.,
ARCH-4003,Consortia Course At Siena,
ARCH-4004,Consortia Course At Skidmore,
ARCH-4005,Consortia Course At Union,
ARCH-4006,Consortia Course At St. Rose,
ARCH-4007,Consortia Course At Jca,
ARCH-4008,Consortia Course Sccc Or Acc,
ARCH-4009,Consortia Course At Alb. Pharm,
ARCH-4010,Seminar In Sensory Culture,"This seminar examines human perception from a designer's perspective. It draws on perspectives from the sciences, arts, and humanities in order to build an understanding of how people perceive and interact with the environments they create. One cannot only read about perception; the seminar will augment reading with a range of direct experiences as source material for discussion."
ARCH-4020,Bedford Seminar,"This interdisciplinary seminar consists of students from both the School of Architecture and Civil Engineering department. Presentation of a variety of structural typologies bears direct relation to practical experience and the necessity for constructive interdisciplinary discourse. Specific structural typologies are examined through historic and contemporary project examples that are critically deconstructed and critically analyzed with respect to their basic engineering principles and architectural concepts. Students will be exposed to the collaborative methods inherent within the architect/engineer relationship. The course consists of lectures concerning each topic, case studies, and presentations of relevant projects, an interdisciplinary design project and discussion of the projects and presentations with respect to interdisciplinary discourse. Content and delivery may vary by instructor. Taught with CIVL 4020."
ARCH-4050,Cities And Their Territories,"This course focuses on design at the scale of cities and territories, examining the role of social equity & inclusion and ecological knowledge and responsibility as forces in the development of the built environment. This course will examine the ways that socio-economic, cultural, political, ecological, and technological factors impact urban form. Students will learn to communicate the role and responsibility of architects in ensuring equity and access to sites, buildings, and structures within urban and rural contexts. The course will also assess the dynamic between the built and natural environments, paths to mitigating climate change, professional and ecological responsibility, adaptation, resilience principles and advocacy activities at the scale of cities, territories and landscapes. Information literacy and the proper use of citations in scholarly writing are central to the course."
ARCH-4055,Urban Data 1,"Urban Data I examines the role of data representation and the use of web-based graphics and in contemporary design. This course teaches the power of combining the thought process and methods of an architect with increasingly sophisticated representational techniques that broaden the function of a traditional drawing. Students use publicly available datasets to interrogate a pressing urban problem. They research, represent, and propose design solutions using data they've collected to guide their decision-making process."
ARCH-4060,Urban Data 2,"Drawing from areas of their own interest, students create unique data sets and design simple games that address little-known or at-risk urban culture and phenomena. Urban Data II brings together a multitude of skills including research, design, game logic, and web creation. The ability to effectively combine the ideas and techniques taught in this course offers students uniquely relevant skills in an era where architects are constantly adapting to ever-changing technology."
ARCH-4065,Design Programming 1,"Design Programming 1 provides an accelerated introduction to computer programming for design professionals including instruction in 2D and 3D graphics, Web applications, and building data. The course provides an accelerated introduction to prevalent programming languages and constructs, graphics libraries and development environments. The course spans from an introduction to the basic concepts of general programming, object oriented programming and 2D graphics through basic web design, 3D graphics on the web building data modeling and web database integration. This class is oriented to students who are interested in going beyond simply using 2D and 3D programs, who want to better understand the technologies behind these tools, and access capabilities beyond those of simple scripting. Students develop a web based design modeling application targeting their domain of design interest over the course of the semester, as well as learning technical skills through weekly exercises."
ARCH-4070,Twisted Siblings:relationships Between Contemporary Painting And Digital Architecture,"Architecture and painting are two of the oldest forms of societal expression and have been historically linked in complex and dynamic ways. In the 20th century, the movements of Cubism, Futurism, Neo-Plasticism, Constructivism, Purism, Surrealism, and Dadaism consisted of dynamic dialogs between architecture and painting. These exchanges allowed each to have a profound and deep impact upon the other. By contrast, in early 21st century, there seems to be all but a mute relationship between the two. This course intends to help break that silence. This course will begin to bridge the divide by establishing new connections between the current preoccupations with materials, procedures, and affects that are emerging in both contemporary painting and architecture. Twisted Siblings seeks to explore and discover new relationships between the most cutting-edge digital technologies and how painting may influence the expressive capacities of these technologies. As contemporary painting and architecture seek to establish future directions, a new dialog and exchange of ideas should be emerging, to ensure a dynamic and radical future for both. The course will consist of a series of lectures, discussions, and presentations. Students will be expected to research a number of individual architects, painters, and writers who are producing work of related interest. Students will be responsible for completing a research project, which synthesizes the content of the course."
ARCH-4075,Geo-actors 1,"This course introduces ecological and landscape thinking pertaining to the academic work of architecture, landscape architecture and art research undertaken at Rensselaer Polytechnic Institute. This course will investigate the history and theory of landscape architectural design, public space, and ecology, as a framework for the hybrid design thinking increasingly required of 21st century inhabitants."
ARCH-4080,Geo-actors 2,"This course introduces ecological and landscape thinking pertaining to the academic work of architecture, landscape architecture and art research undertaken at Rensselaer Polytechnic Institute. This course will investigate the history and theory of landscape architectural design, public space, and ecology, as a framework for the hybrid design thinking increasingly required of 21st century inhabitants."
ARCH-4090,Architectural Case Studies,"The intent of this course is to teach students the means for investigating buildings coherently, rationally, and interpretively to understand the technical and cultural knowledge embedded within works of architecture as well as the dynamic between the built and natural environments. A select number of contemporary buildings are analyzed through drawing, modeling and scholarly writing to ascertain the multiple systems that are inherent to a work of architecture including program, material systems, circulation, site and environment."
ARCH-4100,An Architectural Genealogy,"This course addresses the history of architectural and related developments in selected Western and non-Western civilizations in order to construct a conceptual and strategic understanding of the relationships between architecture, culture, civilization, technology, and thought. In doing so, it will focus on key constructed spatial phenomena of the pre-modern world and, where relevant, elucidate the connection of these works of architecture and their motivating ideals to those of the modern and contemporary world."
ARCH-4110,An Architectural Genealogy 2,
ARCH-4120,Modernity & Architecture,"This course is an exploration of the idea of modernity as both a cultural phenomenon extending back to Enlightenment ideas of progress, technological framing of the world, scientific rationality, and historical consciousness. The course will identify the core concepts, values, theories, and practices that contributed to the rise of modernity in the western world and eventually on a global scale. The impact of Modernity will also be critically examined historically and theoretically as an artistic and architectural discourse unfolding in the 20th century and as a radical requestioning of the traditional concepts of program, construction, and aesthetics that are central to architectural discourse."
ARCH-4130,"Modernity In Culture, Civilization And Architecture 2",
ARCH-4150,Contemporary Design Approaches,"This course builds upon the historical and theoretical discourse established in the HTC sequence and challenges students to position themselves critically within contemporary design practice. Central to this course is the history and theory of architecture and urban form, and the ability to identify the influences of diverse social, cultural, economic, and political forces that impact the design of the built environment. The course examines how contemporary urban and architectural design practices engage cultural diversity, design justice, environmental justice, intersectionality, and social equity. Students will be able to identify contemporary theories and tools that address climate change through ecological design, and social responsibility. The course will also identify theories and practices engaged in the integration of information, data, digital networks, and artificial intelligence in the creation of architectural and urban form."
ARCH-4160,Research Investigations,"This class is taken by professional students from the School of Architecture's Troy campus accepted into the one-semester visiting program at CASE in NYC. The course is structured to integrate visiting students into ongoing research at CASE by forming cohort groups that work directly with in-resident Ph.D. students. Architectural research methods are explored throughout the semester and include; case studies, modeling, simulation, and prototyping of building systems. The course consists of topical lectures, and discussions regarding progress of ongoing research projects."
ARCH-4170,Environmental Parametrics,"This course is an intensive workshop in parametric modeling with specialized focus on environmental simulation and sustainable design. Students learn tools to navigate the intersection of environmental design and computational workflows by mastering parametric modeling and optimization for sustainability. Students gain proficiency in using parametric applications as both an analytical tool and a generative design device. The course exposes students to feedback loops between environmental analysis and design decision, fostering performance-based design strategies. Students explore the integration of parametric modeling with building energy modeling and bioclimatic analysis. Project based exercises are developed to address ecological design principles and optimize systems for multivariable trade-offs."
ARCH-4200,Portfolio Development,"A graphic portfolio of architectural design work is a living document representing the diversity, competence, and growth throughout an architect's career. Central to this course is the development of professional development skills in preparation for internships and a professional career in architecture, including the All-Institute ARCH AWAY experience. Students will have the ability to conceive, design, and construct a portfolio, using images and text, that integrates work examples exhibiting a diverse range of skills including, design studio, history theory, professional work, technical and environmental courses. Other skills covered include the design of a curriculum vitae tailored to architecture, and the allied design fields. This course provides an overview of how to establish an NCARB record and log AXP (experience credits), formulate a path to licensure including the AXP and the ARE (Architecture Registration Exam) and is coordinated with career development events, lectures, including Blast-off and the SoA career fair and formally introduces students to their NCARB mentor."
ARCH-4260,Architecture Design 6,
ARCH-4270,Arch Design 7,
ARCH-4300,Design Development,
ARCH-4320,Building Integration 1: Design,"This course provides critical technical knowledge and skills for students to critically address environmental building regulations and the practice of health safety and welfare in the design of the built environment. It prepares students with the necessary foundational knowledge to work collaboratively with adjacent expert professionals to foster an integrative design process and places emphasis on developing critical approaches to both active and passive building systems and building enclosures. The course will deliver material through lectures, software tutorials and skill building workshops and requires the students to have a baseline of established knowledge on the subjects. As such, this class cannot be taken without first passing the pre-requisite courses, Construction Systems (CS) and Environmental and Ecological Systems (EES)."
ARCH-4325,Building Integration 2 - Prtc,"This course provides consultation with experts to prepare students with the necessary leadership skills for collaborative practice through lectures and skill building workshops. This course will provide access to professional disciplines typically engaged in the building design process as consultants, including sustainable practice, structural, mechanical, environmental, and high-performance facade design to support the integration of of technical knowledge and to promote innovation in current and future best practices, and stewardship of resources within architecture."
